EmployeeID,Age,Department,Gender,MaritalStatus,DistanceFromHome,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,PerformanceRating,Attrition
1001,,Research & Development,Female,Single,1.0,3408.0,1.9,No,2,3,No
1002,,Human Resources,Male,Married,13.0,3769.0,0.5,No,2,3,No
1003,35.0,Research & Development,Male,Divorced,8.0,7080.0,2.2,Yes,1,3,No
1004,,Research & Development,Female,Married,1.0,5991.0,1.6,No,2,4,No
1005,45.0,,Female,Married,2.0,8163.0,9.2,No,1,3,No
1006,30.0,Sales,Male,Married,1.0,5331.0,1.9,No,3,3,No
1007,50.0,Sales,Female,Married,2.0,7417.0,7.8,No,1,4,No
1008,35.0,Research & Development,Female,Divorced,2.0,9447.0,11.1,No,4,3,No
1009,37.0,Research & Development,Female,,1.0,6373.0,2.8,No,2,3,No
1010,30.0,Research & Development,Female,Married,4.0,7678.0,12.0,No,4,3,No
1011,18.0,Sales,Female,Single,8.0,2082.0,2.4,No,4,4,No
1012,45.0,Human Resources,Male,Divorced,6.0,10220.0,16.6,No,2,3,No
1013,,Research & Development,Female,Divorced,7.0,6597.0,0.5,No,4,3,No
1014,34.0,Sales,Female,Single,1.0,8293.0,5.8,Yes,4,3,No
1015,38.0,Sales,Male,Married,18.0,5134.0,3.4,Yes,4,3,No
1016,42.0,Sales,Male,Divorced,11.0,6943.0,2.5,Yes,3,3,No
1017,23.0,Sales,Male,Single,10.0,1719.0,5.0,No,1,3,No
1018,32.0,Research & Development,Female,Married,10.0,5438.0,6.1,No,3,3,No
1019,44.0,Research & Development,Female,Divorced,16.0,5573.0,0.0,Yes,3,3,Yes
1020,26.0,Sales,Male,,5.0,2410.0,0.9,No,3,3,No
1021,40.0,Research & Development,Female,Married,1.0,5905.0,6.2,Yes,2,3,No
1022,25.0,Sales,Male,Single,6.0,4263.0,5.5,No,4,3,No
1023,41.0,Sales,Female,Divorced,8.0,11613.0,16.9,No,4,3,No
1024,37.0,Research & Development,Female,Divorced,8.0,27001.530725274537,7.2,Yes,2,3,No
1025,22.0,Research & Development,Female,Divorced,4.0,4908.0,15.1,No,1,3,No
1026,,Research & Development,Male,Married,,4934.0,6.1,Yes,2,3,No
1027,30.0,Sales,Male,Divorced,3.0,3660.0,1.8,No,4,3,No
1028,30.0,Research & Development,Male,Divorced,15.0,4837.0,0.6,No,4,3,No
1029,39.0,,Male,Single,5.0,3559.0,7.6,No,3,3,No
1030,47.0,Sales,Female,,5.0,7050.0,5.2,No,3,3,No
1031,28.0,Research & Development,Female,Single,2.0,2981.0,0.2,No,3,3,No
1032,38.0,Sales,Female,Married,3.0,7753.0,2.2,No,2,4,No
1033,41.0,Sales,Female,Single,14.0,10177.0,15.7,No,3,4,No
1034,43.0,,Female,,7.0,7299.0,3.5,Yes,4,3,No
1035,39.0,Human Resources,Female,Single,9.0,6212.0,2.8,No,4,3,No
1036,34.0,Research & Development,Female,Married,4.0,2309.0,3.1,Yes,4,3,No
1037,30.0,Sales,Female,Single,6.0,5512.0,1.2,Yes,4,3,Yes
1038,38.0,Sales,Male,Married,2.0,6028.0,2.3,No,3,3,No
1039,27.0,Research & Development,Male,Single,7.0,5147.0,2.3,Yes,3,4,No
1040,18.0,Research & Development,Male,,3.0,,0.3,No,4,3,No
1041,41.0,Sales,Female,Married,4.0,4689.0,7.3,No,4,4,No
1042,45.0,Research & Development,Female,Married,6.0,9272.0,2.7,Yes,2,3,No
1043,18.0,Sales,Male,Single,17.0,5079.0,8.6,No,2,3,No
1044,28.0,Human Resources,Female,Married,1.0,,9.5,Yes,2,3,Yes
1045,43.0,Sales,Female,Divorced,10.0,5852.0,1.2,No,3,3,No
1046,56.0,Research & Development,Male,Married,2.0,8314.0,5.4,No,2,3,No
1047,37.0,Sales,Male,Single,4.0,5045.0,3.2,No,3,3,No
1048,30.0,Research & Development,Female,Single,1.0,8144.0,10.6,No,1,3,No
1049,35.0,Research & Development,Male,Divorced,2.0,9610.487326751145,1.2,Yes,3,3,No
1050,49.0,Sales,Female,Single,4.0,9341.0,5.7,No,4,3,No
1051,31.0,Human Resources,Male,Divorced,1.0,5081.0,4.7,No,2,3,No
1052,30.0,Research & Development,Female,Married,4.0,2840.0,1.7,No,4,3,No
1053,33.0,Human Resources,Female,Divorced,16.0,3870.0,0.7,No,3,3,Yes
1054,28.0,Research & Development,Female,Married,1.0,7441.0,5.3,No,4,4,No
1055,38.0,Research & Development,Female,Divorced,9.0,6442.0,6.7,Yes,2,3,Yes
1056,52.0,Human Resources,Male,Married,3.0,7783.0,1.9,Yes,4,3,No
1057,40.0,Sales,Male,Married,6.0,5864.0,5.2,No,3,3,No
1058,35.0,Sales,Male,Married,2.0,6552.0,2.5,No,4,3,No
1059,34.0,Sales,Female,Married,1.0,7618.0,6.2,No,4,3,No
1060,23.0,Sales,Female,Married,1.0,6258.0,1.1,No,2,3,No
1061,45.0,Research & Development,Female,Divorced,1.0,9327.0,11.0,No,1,3,No
1062,36.0,Sales,Male,Divorced,1.0,30597.288230088347,1.7,Yes,2,3,No
1063,35.0,Research & Development,Male,Married,7.0,5492.0,2.3,No,3,3,No
1064,60.0,Research & Development,Male,Married,13.0,9589.0,0.3,Yes,2,4,No
1065,40.0,Sales,Male,Married,10.0,4272.0,0.6,No,2,4,No
1066,,Research & Development,Female,Married,7.0,6318.0,3.6,No,3,3,No
1067,33.0,Sales,Male,Single,1.0,4568.0,1.6,No,1,3,No
1068,,Research & Development,Male,Single,2.0,9034.0,9.0,Yes,2,3,No
1069,38.0,Sales,Female,Married,2.0,5073.0,0.1,No,3,3,No
1070,24.0,Human Resources,Male,Single,2.0,4438.0,2.4,No,1,3,Yes
1071,45.0,Research & Development,Male,Single,4.0,6301.0,2.1,No,3,3,No
1072,31.0,Sales,Female,Single,5.0,4417.0,0.1,Yes,3,4,No
1073,54.0,Sales,Male,Single,3.0,9432.0,0.7,No,3,4,No
1074,47.0,Research & Development,Female,Single,3.0,8403.0,2.7,No,4,3,No
1075,33.0,Research & Development,Female,Divorced,11.0,6794.0,3.4,Yes,3,3,No
1076,49.0,Research & Development,Female,Married,9.0,,2.6,Yes,3,3,Yes
1077,38.0,Research & Development,Male,Married,2.0,4896.0,3.8,Yes,3,3,No
1078,45.0,Sales,Female,Married,15.0,8748.0,4.5,No,4,3,No
1079,41.0,Research & Development,Male,Single,18.0,6574.0,0.0,No,4,3,No
1080,29.0,Sales,Male,Divorced,2.0,7114.0,3.1,No,4,4,No
1081,31.0,Research & Development,Male,Married,3.0,8964.0,16.6,Yes,4,3,No
1082,,Research & Development,Female,Single,4.0,6811.0,3.7,No,2,3,No
1083,34.0,Sales,Male,Married,17.0,3956.0,5.7,No,2,3,No
1084,33.0,Sales,Male,Divorced,13.0,4376.0,1.9,No,1,3,No
1085,28.0,Sales,Female,Divorced,1.0,7785.0,7.4,No,4,3,No
1086,41.0,Sales,Male,Married,3.0,7150.0,7.4,Yes,4,3,No
1087,56.0,Research & Development,Male,Married,5.0,9316.0,3.7,No,4,3,No
1088,27.0,Research & Development,Male,Single,4.0,9839.0,18.7,No,2,3,No
1089,37.0,Research & Development,Male,Divorced,1.0,5511.0,0.7,No,4,3,No
1090,50.0,Research & Development,Male,Single,12.0,4653.0,0.1,No,2,4,No
1091,36.0,Sales,Male,Divorced,7.0,7378.0,7.4,No,1,3,No
1092,41.0,Research & Development,Female,Married,11.0,3643.0,8.2,No,3,3,No
1093,27.0,Research & Development,Male,Married,12.0,3510.0,0.6,Yes,3,3,No
1094,41.0,Research & Development,Male,Married,8.0,3339.0,1.5,Yes,3,3,Yes
1095,35.0,Research & Development,Female,Single,3.0,6384.0,0.1,No,4,3,No
1096,46.0,Research & Development,Male,Single,6.0,,1.7,No,1,4,No
1097,,Research & Development,Female,,1.0,9390.0,7.4,Yes,3,4,No
1098,60.0,,Male,,7.0,11082.0,3.6,Yes,3,3,No
1099,42.0,Sales,Male,Married,1.0,4692.0,2.1,Yes,2,3,No
1100,40.0,Sales,Male,Married,7.0,8566.0,2.3,No,4,3,No
1101,39.0,Sales,Male,,2.0,6418.0,0.0,Yes,4,3,Yes
1102,34.0,Research & Development,Male,Divorced,1.0,4695.0,1.8,No,4,3,No
1103,40.0,Sales,Male,Divorced,1.0,8663.0,5.2,Yes,4,3,Yes
1104,34.0,Research & Development,Male,Divorced,1.0,9166.0,18.3,No,4,3,No
1105,39.0,Human Resources,Male,Divorced,8.0,7073.0,9.4,Yes,2,3,Yes
1106,49.0,Sales,Male,Single,8.0,5342.0,0.1,No,4,3,No
